session_id,session_length,session_position,is_skip_int
4822,28,12,0
4822,28,17,0
4822,28,19,0
4822,28,27,0
4823,101,1,0
4823,101,21,0
4823,101,47,1
4823,101,52,1
4823,101,69,0
4823,101,86,0
4823,101,90,0
4823,101,93,0
4824,64,5,0
4824,64,12,1
4825,163,6,0
4825,163,8,0
4825,163,55,1
4825,163,63,1
4825,163,66,1
4825,163,67,1
4825,163,99,1
4825,163,110,0
4825,163,119,1
4825,163,132,1
4825,163,133,1
4825,163,147,1
4825,163,155,0
4827,62,31,1
4827,62,35,1
4827,62,45,1
4827,62,51,1
4828,30,1,1
4828,30,4,1
4830,18,12,1
4832,6,1,0
4832,6,5,0
4836,3,1,1
4837,111,19,0
4837,111,52,0
4837,111,69,1
4837,111,71,0
4837,111,76,1
4837,111,84,0
4838,37,5,0
4838,37,13,1
4838,37,14,0
4838,37,16,0
4838,37,19,1
4839,33,20,0
4839,33,25,0
4839,33,28,0
4840,3,2,0
4841,24,12,0
4842,94,10,0
4842,94,16,1
4842,94,22,1
4842,94,53,1
4842,94,78,0
4842,94,85,1
4842,94,93,0
4843,136,2,0
4843,136,5,1
4843,136,30,0
4843,136,58,0
4843,136,66,0
4843,136,76,0
4843,136,83,1
4843,136,126,1
4843,136,135,0
4846,43,30,1
4846,43,32,0
4846,43,37,0
4847,22,3,0
4848,13,5,1
4849,48,4,0
4849,48,11,1
4849,48,18,1
4849,48,26,0
4849,48,33,0
4849,48,41,0
4851,63,8,0
4851,63,31,0
4852,32,0,1
4852,32,20,1
4852,32,29,0
4852,32,30,0
4854,10,5,0
4854,10,6,0
4856,65,4,0
4856,65,8,0
4856,65,24,0
4856,65,46,1
4856,65,58,0
4856,65,64,0
4857,25,7,1
4858,24,11,1
4859,61,44,0
4859,61,57,1
4861,69,51,1
4861,69,64,0
4862,194,19,1
4862,194,39,1
4862,194,57,1
4862,194,71,1
4862,194,81,1
4862,194,147,1
4862,194,155,1
4862,194,166,1
4862,194,187,0
4862,194,192,0
4863,9,5,0
4863,9,7,0
4865,17,4,0
4866,65,19,1
4866,65,25,0
4866,65,51,0
4866,65,57,1
4869,11,6,0
4871,146,19,1
4871,146,28,1
4871,146,29,1
4871,146,36,1
4871,146,38,1
4871,146,66,1
4871,146,104,0
4871,146,109,0
4871,146,111,0
4871,146,120,0
4871,146,138,0
4871,146,142,1
4875,12,3,0
4876,52,5,0
4876,52,17,1
4876,52,32,1
4876,52,46,0
4877,99,54,1
4877,99,56,1
4877,99,77,1
4877,99,91,1
4878,38,11,0
4878,38,16,0
4878,38,18,0
4878,38,31,1
4878,38,34,1
4880,35,2,0
4880,35,12,1
4880,35,23,1
4880,35,29,1
4880,35,34,0
4881,53,5,0
4881,53,6,1
4881,53,7,1
4881,53,10,1
4881,53,28,0
4881,53,34,1
4881,53,36,1
4881,53,42,0
4883,165,4,0
4883,165,16,0
4883,165,56,1
4883,165,70,0
4883,165,84,0
4883,165,91,0
4883,165,96,0
4883,165,145,0
4883,165,160,0
4889,179,21,0
4889,179,27,0
4889,179,44,0
4889,179,47,0
4889,179,50,0
4889,179,67,1
4889,179,69,0
4889,179,89,1
4889,179,97,0
4889,179,107,0
4889,179,108,0
4889,179,117,0
4889,179,146,1
4890,95,3,1
4890,95,19,1
4890,95,40,1
4890,95,76,0
4890,95,80,1
4890,95,89,0
4890,95,92,0
4892,20,4,0
4892,20,8,0
4894,24,5,0
4895,16,12,1
4896,130,18,0
4896,130,75,0
4896,130,77,0
4896,130,79,0
4896,130,88,0
4896,130,97,0
4896,130,98,0
4897,75,5,0
4897,75,13,1
4897,75,20,1
4897,75,30,0
4897,75,50,1
4897,75,69,0
4898,37,16,1
4898,37,29,0
4899,118,5,1
4899,118,20,1
4899,118,31,0
4899,118,33,0
4899,118,69,1
4899,118,72,0
4899,118,75,1
4899,118,102,0
4899,118,114,0
4901,23,22,0
4902,72,2,1
4902,72,4,1
4902,72,22,1
4902,72,68,0
4903,23,17,0
4905,31,2,1
4905,31,25,0
4905,31,29,0
4906,10,1,1
4907,41,11,0
4907,41,13,1
4908,82,6,0
4908,82,37,0
4908,82,38,0
4908,82,49,0
4908,82,51,0
4908,82,56,0
4908,82,60,1
4908,82,71,1
4908,82,77,0
4909,22,7,1
4910,23,1,1
4910,23,6,0
4910,23,19,0
4911,43,11,0
4913,24,21,1
4914,19,18,0
4915,10,9,0
4916,108,2,0
4916,108,8,1
4916,108,20,1
4916,108,27,1
4916,108,32,0
4916,108,57,1
4916,108,68,1
4916,108,71,0
4916,108,76,0
4916,108,78,0
4916,108,84,0
4916,108,105,0
4919,48,7,1
4921,66,17,1
4921,66,29,1
4921,66,42,0
4921,66,50,0
4921,66,58,1
4924,92,77,0
