month,pct_deliberate
2021-10-01,0.6529080675422139
2021-11-01,0.45859154929577467
2021-12-01,0.4414565826330532
2022-01-01,0.41468590831918506
2022-02-01,0.5921311475409836
2022-03-01,0.5238640702558228
2022-04-01,0.5548472191690481
2022-05-01,0.5779111644657863
2022-06-01,0.5572445019404916
2022-07-01,0.6705516705516705
2022-08-01,0.47353463587921846
2022-09-01,0.39722463139635733
2022-10-01,0.4764812302125735
2022-11-01,0.5497256515775034
2022-12-01,0.5669582772543742
2023-01-01,0.5212819228843265
2023-02-01,0.47430098684210525
2023-03-01,0.5611607896068838
2023-04-01,0.5766946549252508
2023-05-01,0.5079461177538974
2023-06-01,0.44260485651214126
2023-07-01,0.5486439948342661
2023-08-01,0.36050851411243295
2023-09-01,0.516614830577836
2023-10-01,0.47099892588614395
2023-11-01,0.4291129643669447
2023-12-01,0.3921028466483012
2024-01-01,0.3882772984230884
2024-02-01,0.4626865671641791
2024-03-01,0.4337180832458902
2024-04-01,0.5165394402035624
2024-05-01,0.42063316360416203
2024-06-01,0.4003174603174603
2024-07-01,0.31161402636160157
2024-08-01,0.3301915475828519
2024-09-01,0.31904210119737353
2024-10-01,0.30442286947141317
2024-11-01,0.2747105966162066
2024-12-01,0.3609772883688919
2025-01-01,0.3052557484748944
2025-02-01,0.368452030606239
2025-03-01,0.24162297697743332
2025-04-01,0.40606338998621955
2025-05-01,0.25934065934065936
2025-06-01,0.4046063939498109
2025-07-01,0.45460774237752655
2025-08-01,0.5954692556634305
2025-09-01,0.4536558847512911
2025-10-01,0.5165993719156572
